act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten,name_who_ordered
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 49",48.524049,32.241483,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 49",КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 51",48.524042,32.240485,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 51",КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 53",48.524021000000005,32.240224,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 53",КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",48.524034,32.239964,КП «Благоустрій» МРМК»,клен,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",48.524034,32.239964,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд. № 55",КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги на розі з вул. Олени Бур'янової,48.519353,32.252096,КП «Благоустрій» МРМК»,акація,2,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький уздовж дороги на розі з вул. Олени Бур'янової,КП «Благоустрій» МРМК»
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька (права сторона),48.519807,32.245236,КП «Благоустрій» МРМК»,клен,7,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька,unknown
"№ 3696
 від 04.05.18",м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька (ліва сторона),48.519814000000004,32.244673,КП «Благоустрій» МРМК»,клен,7,NotYet,NotYet,False,NotYet,NotYet,м. Кропивницький уздовж дороги від мосту до вул. Кременчуцька,unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 61/64",48.524065,32.239084999999996,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 61/64",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 62",48.524071,32.242389,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 62",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65",48.524042,32.237983,КП «Благоустрій» МРМК»,клен,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",48.524046999999996,32.238143,КП «Благоустрій» МРМК»,клен,3,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",48.524046999999996,32.238143,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 65/31",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 69",48.524035,32.237548,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 69",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 70",48.524097999999995,32.241284,КП «Благоустрій» МРМК»,клен,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 70",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 71",48.52406,32.236901,КП «Благоустрій» МРМК»,клен,5,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 71",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 74/59",48.52409,32.240986,КП «Благоустрій» МРМК»,клен,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 74/59",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 76",48.524147,32.240465,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 76",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 78",48.524128999999995,32.240176,КП «Благоустрій» МРМК»,клен,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 78",unknown
"№ 3696
 від 04.05.18","м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 80",48.524182,32.23976,КП «Благоустрій» МРМК»,клен,2,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Київська, уздовж дороги біля буд.
 № 80",unknown
